account_id,CP,win,loss,profit_loss,invested,transactions,win_loss_ratio,profit%
1186231,USD/CHF,170,110,-11200.340000000218,15466448.7,1395,0.61,-0.00072
1186231,USD/CNH,2,1,29.719999999999345,31919.66,6,0.67,0.00093
1186231,USD/DKK,0,1,-15.269999999996799,93926.28,10,0.0,-0.00016
1186231,USD/HUF,2,1,36494.99999999907,10588780.0,6,0.67,0.00345
1186231,USD/JPY,411,247,-1707839.0000000035,6323156291.0,7304,0.62,-0.00027
1186231,USD/MXN,1178,301,-539084.3500000031,2001520488.82,11594,0.8,-0.00027
1186231,USD/NOK,4,2,-755.6399999999558,1497907.44,16,0.67,-0.0005
1186231,USD/PLN,2,7,-291.11000000003787,479979.84,20,0.22,-0.00061
1186231,USD/SEK,5,2,1145.559999999923,1426407.83,42,0.71,0.0008
1186231,USD/SGD,6,3,258.5599999999956,424749.82,40,0.67,0.00061
1186231,USD/TRY,27,28,-30907.329999999514,18537162.93,239,0.49,-0.00167
1186231,USD/ZAR,8,11,-14360.889999999908,5635395.2,72,0.42,-0.00255
1186231,XAG/EUR,1,0,0.4500000000000455,1132.05,2,1.0,0.0004
1186231,XAG/USD,9,14,-46.39999999999989,18904.84,58,0.39,-0.00245
1186231,XAU/EUR,2,4,-12.850000000003888,42100.96000000001,22,0.33,-0.00031
1186231,XAU/USD,557,339,-70525.73000000091,486243962.96999997,39870,0.62,-0.00015
1186231,XPD/USD,0,1,-3.509999999999991,942.36,2,0.0,-0.00372
1186231,XPT/USD,1,1,1.430000000000291,5120.16,4,0.5,0.00028
1186231,ZAR/JPY,0,1,-731.0,7992.0,2,0.0,-0.09147
1217121,AUD/CAD,237,30,3211.7700000001114,3832301.75,1707,0.89,0.00084
1217121,AUD/CHF,1,9,-18.739999999999554,26320.34,20,0.1,-0.00071
1217121,AUD/JPY,11,24,-2611.9999999997963,20015507.0,96,0.31,-0.00013
1217121,AUD/NZD,6,2,-940.7100000000132,211674.55000000002,44,0.75,-0.00444
1217121,AUD/USD,297,149,4342.209999999917,8807916.19,4890,0.67,0.00049
1217121,CAD/JPY,1,0,3075.0,904395.0,4,1.0,0.0034
1217121,CHF/JPY,5,1,4835.0,3306890.0,12,0.83,0.00146
1217121,EUR/AUD,5,12,-3188.9199999999855,1213243.1099999999,52,0.29,-0.00263
1217121,EUR/CAD,8,5,52.330000000001746,94768.57,38,0.62,0.00055
1217121,EUR/CHF,37,46,775.5300000000483,2211870.63,879,0.45,0.00035
1217121,EUR/GBP,86,75,-2930.1400000000435,1938107.32,1329,0.53,-0.00151
1217121,EUR/JPY,436,470,488778.0000000254,2349641074.0,5888,0.48,0.00021
1217121,EUR/USD,515,262,-9404.260000000724,31484450.57,6676,0.66,-0.0003
1217121,GBP/AUD,4,5,18.00000000000182,116864.07,24,0.44,0.00015
1217121,GBP/CAD,4,0,98.95000000004438,315529.08,18,1.0,0.00031
1217121,GBP/CHF,10,6,219.33999999999287,291314.57,50,0.62,0.00075
1217121,GBP/JPY,10,15,7139.999999998836,23062204.0,64,0.4,0.00031
1217121,GBP/USD,811,589,-22775.09,50091832.53,10472,0.58,-0.00045
1217121,NAS/USD,9,12,45.029999999992924,126548.30000000002,136,0.43,0.00036
1217121,NZD/CAD,69,9,-6642.899999999999,1802368.38,490,0.88,-0.00369
1217121,NZD/CHF,1,0,2.7000000000000455,1786.53,2,1.0,0.00151
1217121,NZD/USD,6,3,53.65000000000032,50930.72,24,0.67,0.00105
1217121,USD/CAD,670,228,4750.860000000206,22896144.78,7251,0.75,0.00021
1217121,USD/CHF,105,95,4455.260000000027,2636172.37,1971,0.52,0.00169
1217121,USD/JPY,378,198,22393.999999999854,1254861245.0,4201,0.66,2e-05
1217121,XAG/USD,1,0,0.7999999999999545,305.0,2,1.0,0.00262
1217121,XAU/EUR,24,57,-15294.330000000244,3976923.4,623,0.3,-0.00385
1217121,XAU/USD,1018,1139,-15222.46999999938,101921153.01,22930,0.47,-0.00015
1251600,AUD/CAD,0,1,-1.1200000000000045,956.97,2,0.0,-0.00117
1251600,AUD/JPY,23,32,-14743.999999999302,14620809.0,126,0.42,-0.00101
1251600,AUD/USD,9,9,26.61999999999921,31587.210000000003,42,0.5,0.00084
1251600,CAD/JPY,11,16,-910.9999999999418,11316544.0,58,0.41,-8e-05
1251600,CHF/JPY,4,6,1101.0,3859051.0,20,0.4,0.00029
1251600,EUR/AUD,2,5,-9.679999999999154,17100.57,14,0.29,-0.00057
1251600,EUR/CAD,1,1,1.0,10395.02,4,0.5,0.0001
1251600,EUR/GBP,0,1,-0.4399999999999409,859.9,2,0.0,-0.00051
1251600,EUR/JPY,127,124,-1855369.9999999963,4032719100.0,14671,0.51,-0.00046
1251600,EUR/NOK,0,1,-6.43999999999869,9126.849999999999,2,0.0,-0.00071
1251600,EUR/NZD,0,7,-11.690000000000055,19362.13,14,0.0,-0.0006
1251600,EUR/USD,9,10,-28.209999999995944,96623.0,46,0.47,-0.00029
1251600,EUR/ZAR,1,1,-74.65999999999622,85996.82,4,0.5,-0.00087
1251600,GBP/AUD,1,0,3.7799999999997453,3599.38,2,1.0,0.00105
1251600,GBP/CAD,1,2,-5.950000000000273,8644.89,6,0.33,-0.00069
1251600,GBP/JPY,13,21,-1231.0000000000582,11231998.0,70,0.38,-0.00011
1251600,GBP/NZD,1,0,4.2800000000002,3878.52,2,1.0,0.0011
1251600,GBP/USD,17,16,-25.249999999995453,175818.91,80,0.52,-0.00014
1251600,NZD/JPY,1,3,-392.9999999999709,622831.0,8,0.25,-0.00063
1251600,NZD/USD,2,3,1.9199999999998454,4983.83,10,0.4,0.00039
1251600,USD/CAD,3,3,11.940000000001646,24733.27,12,0.5,0.00048
1251600,USD/CHF,1,2,-7.470000000001164,9106.76,6,0.33,-0.00082
1251600,USD/CNH,0,1,-4.710000000000036,6879.85,2,0.0,-0.00068
1251600,USD/JPY,60,83,-356502.0000000002,237702174.0,443,0.42,-0.0015
1251600,USD/NOK,0,1,-19.709999999999127,25336.199999999997,2,0.0,-0.00078
1251600,USD/SGD,0,1,-2.0799999999999272,1421.46,2,0.0,-0.00146
1251600,USD/TRY,1,1,-46.159999999999854,18964.05,4,0.5,-0.00243
1251600,USD/ZAR,0,1,-3.780000000000655,13491.64,2,0.0,-0.00028
1251600,ZAR/JPY,1,3,-526.0,76396.0,8,0.25,-0.00689
1256808,EUR/JPY,3,3,-242154.99999999907,690979725.0,199,0.5,-0.00035
1256808,EUR/USD,199,29,9811.189999999293,119879642.01,2474,0.87,8e-05
1256808,GBP/AUD,24,11,-1577.7500000001019,14722201.72,414,0.69,-0.00011
1256808,GBP/JPY,121,26,-1097097.9999999562,8002956481.0,1443,0.82,-0.00014
1256808,GBP/USD,122,27,-4877.260000000015,80150880.59,1499,0.82,-6e-05
1256808,JPI/JPY,1,0,150.0,268267.0,2,1.0,0.00056
1256808,NAS/USD,1,0,0.2699999999999818,1181.96,2,1.0,0.00023
1256808,NZD/JPY,1,0,31880.0,4906620.0,12,1.0,0.0065
1256808,USD/JPY,199,114,1179881.9950000308,20955361483.0,2836,0.64,6e-05
1256808,XAU/USD,0,1,-2.1000000000001364,3418.23,4,0.0,-0.00061
1297027,AUD/USD,166,189,312.21999999998366,4176206.45,2951,0.47,7e-05
1297027,BTC/USD,6,4,420.3531399999996,13120.92782,70,0.6,0.03204
1297027,EUR/USD,490,424,832.3299999999755,35379285.82,10589,0.54,2e-05
1297027,GBP/USD,394,377,378.2199999999598,31252686.59,11358,0.51,1e-05
1297027,USD/CAD,221,246,-1037.1500000000353,18962211.98,8556,0.47,-5e-05
1297027,USD/JPY,757,776,734145.0000000042,11144960680.0,21785,0.49,7e-05
1379246,XAU/USD,2768,10293,-20530.202999999834,79329311.873,50918,0.21,-0.00026
1416378,EUR/USD,4304,1101,1020.0699999997432,168884888.01,31728,0.8,1e-05
1437622,AAP/USD,1,0,83.0,16677.0,2,1.0,0.00498
1437622,AMZ/USD,1,0,20.059999999999945,1640.01,2,1.0,0.01223
1437622,AUD/CHF,1,1,5.0,143800.0,4,0.5,3e-05
1437622,AUD/NZD,3,1,-52152.5,418239.5,11,0.75,-0.1247
1437622,AUS/AUD,3,3,-23276.700000000004,3166287.625,110,0.5,-0.00735
1437622,BAB/USD,0,1,-410.0,16468.5,4,0.0,-0.0249
1437622,CAD/CHF,0,2,-423.0,152067.0,4,0.0,-0.00278
1437622,CAD/JPY,0,1,-5300.0,8379100.0,2,0.0,-0.00063
1437622,CHF/JPY,0,1,-6900.0,11028000.0,2,0.0,-0.00063
1437622,DJI/USD,2,3,-407.7500000000073,201234.95,22,0.4,-0.00203
1437622,EUR/JPY,6,0,919.0000000000291,2703047.0,14,1.0,0.00034
1437622,EUR/MXN,5,0,19144.100000000006,6772470.1,18,1.0,0.00283
1437622,EUR/TRY,7,2,-3972.6900000000014,2677553.58,24,0.78,-0.00148
1437622,EUR/USD,3,0,73.8599999999924,181043.13,22,1.0,0.00041
1437622,EUR/ZAR,0,1,-780.0,1532250.0,2,0.0,-0.00051
1437622,GBP/AUD,2,3,2655.0,1188159.0,18,0.4,0.00223
1437622,GBP/CHF,3,0,197.49999999995634,456388.0,6,1.0,0.00043
1437622,GBP/JPY,58,5,-1032724.9999999901,811163297.0,387,0.92,-0.00127
1437622,GBP/USD,1,0,3.0,130904.0,2,1.0,2e-05
1437622,GBP/ZAR,0,1,-319.70000000001164,176571.9,2,0.0,-0.00181
1437622,GER/EUR,1,2,-349.3760000000111,141199.828,68,0.33,-0.00247
1437622,JPI/JPY,75,1,616301.0,245678732.5,948,0.99,0.00251
1437622,NAS/USD,28,2,69.70000000000095,84817.935,132,0.93,0.00082
1437622,SPF/USD,0,1,-8.0,26911.5,2,0.0,-0.0003
1437622,UKI/GBP,3,3,-100.00000000000182,83589.6,16,0.5,-0.0012
1437622,USA/USD,0,1,-0.7999999999992724,9698.4,2,0.0,-8e-05
1437622,USD/CAD,1,0,0.05999999999994543,1276.88,2,1.0,5e-05
1437622,USD/CNH,2,0,443.0,1011423.0,4,1.0,0.00044
1437622,USD/JPY,11,1,2192.0,10541823.0,28,0.92,0.00021
1437622,USD/MXN,20,5,84755.66000000163,71474958.17,386,0.8,0.00119
1437622,USD/TRY,10,3,-11367.61000000001,2587155.5,56,0.77,-0.00439
1437622,USD/ZAR,0,1,-157.5,142605.9,2,0.0,-0.0011
1437622,XAG/USD,9,1,21.199999999999818,7765.6,26,0.9,0.00273
1437622,XAU/USD,162,9,-5162.249999999844,46793165.93,16578,0.95,-0.00011
1437622,XPT/USD,2,1,-1236.5500000000102,438146.69,464,0.67,-0.00282
1438956,DJI/USD,212,463,-1510.3100000000004,5659137.2,2911,0.31,-0.00027
1438956,GAS/USD,0,1,-56.999999999999886,4236.349999999999,10,0.0,-0.01345
1438956,GER/EUR,5,6,11.219999999999573,16681.36,22,0.45,0.00067
1438956,HKI/HKD,0,2,-582.5,58841.0,4,0.0,-0.0099
1438956,JPI/JPY,0,1,-440.0,215925.0,2,0.0,-0.00204
1438956,OIL/USD,81,144,-578.0600000000003,395354.2,1937,0.36,-0.00146
1438956,USD/CNH,0,1,-145.3799999999901,180157.22999999998,14,0.0,-0.00081
1438956,XAG/EUR,1,5,-5.599999999999994,1413.6,12,0.17,-0.00396
1438956,XAG/USD,19,35,-32.90000000000026,26398.7,171,0.35,-0.00125
1438956,XAU/USD,557,1085,-5136.24000000008,21812052.21,10794,0.34,-0.00024
1444216,AUD/CAD,27,38,-5960.130000000078,9934794.1,799,0.42,-0.0006
1444216,AUD/CHF,21,32,746.6100000000323,1623892.01,496,0.4,0.00046
1444216,AUD/JPY,238,145,-33086948.99999998,17588353904.0,5220,0.62,-0.00188
1444216,AUD/NZD,51,93,5237.659999999905,18349444.97,1203,0.35,0.00029
1444216,AUD/USD,114,63,35897.82999999983,44511027.019999996,1669,0.64,0.00081
