LOGIN,SYMBOL,TICKET,PROFIT,loss,win,win_rate
51765,EURCAD,3,-105.99000000000001,1,2,0.6666666666666666
51765,EURCHF,9,-77.0,1,8,0.8888888888888888
51765,EURGBP,49,202.62000000000003,2,47,0.9591836734693877
51765,EURJPY,289,2768.42,19,270,0.9342560553633218
51765,EURUSD,493,277.0,130,363,0.7363083164300203
51765,GBPCHF,422,-15688.4,44,378,0.8957345971563981
51765,GBPJPY,756,-6147.000000000001,68,688,0.91005291005291
51765,GBPUSD,272,-15215.0,58,214,0.7867647058823529
51765,NZDUSD,17,87.0,4,13,0.7647058823529411
51765,USDCAD,48,-1602.5900000000001,14,34,0.7083333333333334
51765,USDCHF,306,208.35000000000002,31,275,0.8986928104575164
51765,USDJPY,423,-7135.32,58,365,0.8628841607565012
51787,AUDCAD,1,-16.65,1,0,0.0
51787,AUDUSD,5,-76.0,3,2,0.4
51787,EURJPY,58,-679.47,32,26,0.4482758620689655
51787,EURUSD,33,-1807.0,28,5,0.15151515151515152
51787,GBPJPY,298,-12587.64,157,141,0.47315436241610737
51787,GBPUSD,118,-3452.0,61,57,0.4830508474576271
51787,USDCAD,3,-34.949999999999996,1,2,0.6666666666666666
51787,USDJPY,46,-765.44,28,18,0.391304347826087
51877,AUDCAD,19,-1113.44,8,11,0.5789473684210527
51877,AUDJPY,470,-20322.04,165,305,0.648936170212766
51877,AUDNZD,18,17.25999999999999,5,13,0.7222222222222222
51877,AUDUSD,564,-41866.56,241,323,0.5726950354609929
51877,CADJPY,123,-2777.19,61,62,0.5040650406504065
51877,CHFJPY,63,132.9799999999999,23,40,0.6349206349206349
51877,EURAUD,345,-12784.63,162,183,0.5304347826086957
51877,EURCAD,22,215.46000000000004,7,15,0.6818181818181818
51877,EURCHF,374,1035.9399999999998,117,257,0.6871657754010695
51877,EURGBP,338,2952.8900000000003,114,224,0.6627218934911243
51877,EURJPY,768,11392.5,267,501,0.65234375
51877,EURUSD,828,5532.9400000000005,265,563,0.6799516908212561
51877,GBPCHF,467,6307.88,125,342,0.7323340471092077
51877,GBPJPY,710,-14415.320000000002,226,484,0.6816901408450704
51877,GBPUSD,739,-1520.52,293,446,0.6035182679296346
51877,NZDUSD,434,-15438.779999999999,188,246,0.5668202764976958
51877,USDCAD,532,-11593.449999999999,258,274,0.5150375939849624
51877,USDCHF,610,-7038.449999999999,240,370,0.6065573770491803
51877,USDJPY,658,-5174.39,236,422,0.6413373860182371
51877,XAGUSD,8,-3153.0,3,5,0.625
51877,XAUUSD,397,10118.65,148,249,0.6272040302267002
51882,AUDCAD,1,-17.27,1,0,0.0
51882,AUDJPY,1,-22.61,1,0,0.0
51882,AUDNZD,1,-12.16,1,0,0.0
51882,AUDUSD,1,1.0,0,1,1.0
51882,EURAUD,2,10.21,0,2,1.0
51882,EURCHF,4,11.86,2,2,0.5
51882,EURGBP,6,-4.390000000000001,3,3,0.5
51882,EURJPY,14,25.820000000000004,7,7,0.5
51882,EURUSD,56,-14.600000000000001,35,21,0.375
51882,GBPJPY,17,-24.11,7,10,0.5882352941176471
51882,GBPUSD,64,-122.3,35,29,0.453125
51882,NZDUSD,1,-22.5,1,0,0.0
51882,USDCAD,2,-4.34,2,0,0.0
51882,USDCHF,12,23.69,4,8,0.6666666666666666
51882,USDJPY,26,-8.86,16,10,0.38461538461538464
53050,AUDUSD,6,-113.8,3,3,0.5
53050,CHFJPY,5,40.08,2,3,0.6
53050,EURCHF,5,-176.03,2,3,0.6
53050,EURGBP,5,-134.45999999999998,3,2,0.4
53050,EURJPY,152,632.52,80,72,0.47368421052631576
53050,EURUSD,56,-397.5,43,13,0.23214285714285715
53050,GBPUSD,38,-836.3,24,14,0.3684210526315789
53050,NZDUSD,6,286.1,1,5,0.8333333333333334
53050,USDCAD,4,-147.6,4,0,0.0
53050,USDCHF,40,50.48999999999999,33,7,0.175
53050,USDJPY,5,106.72999999999999,2,3,0.6
53067,EURJPY,22,-205.73,14,8,0.36363636363636365
53067,EURUSD,348,-1570.92,194,154,0.4425287356321839
53067,GBPUSD,7,-274.6,5,2,0.2857142857142857
53067,USDCAD,59,-73.55999999999999,34,25,0.423728813559322
53067,USDJPY,6,11.18,4,2,0.3333333333333333
53067,USDMXN,5,-48.870000000000005,3,2,0.4
53067,XAGUSD,1,-6.3,1,0,0.0
53067,XAUUSD,2,-4.0,1,1,0.5
53078,AUDJPY,1,-8.05,1,0,0.0
53078,EURUSD,295,-1931.0,117,178,0.6033898305084746
53078,GBPUSD,33,-430.0,18,15,0.45454545454545453
53078,USDCHF,65,-5.4499999999999975,32,33,0.5076923076923077
53078,USDJPY,28,29.630000000000003,11,17,0.6071428571428571
